secid,record_date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,seq_num,ex_date,amount,adj_factor,declare_date,payment_date,link_secid,distr_type,frequency,currency,approx_flag,cancel_flag,liquid_flag
107525,19961122,59491810,MSFT,7372,0,4,,0,826,1,19961209,0,2,19961112,19961206,0,2,,USD,0,0,0
107525,19980206,59491810,MSFT,7372,0,4,,0,826,1,19980223,0,2,19980126,19980220,0,2,,USD,0,0,0
107525,19990312,59491810,MSFT,7372,0,4,,0,826,1,19990329,0,2,19990123,19990326,0,2,,USD,0,0,0
107525,20030127,59491810,MSFT,7372,0,4,,0,826,1,20030218,0,2,20030116,20030214,0,2,1,USD,0,0,0
107525,20030221,59491810,MSFT,7372,0,4,,0,826,1,20030219,0.08,1,20030116,20030307,0,1,1,USD,0,0,0
107525,20031017,59491810,MSFT,7372,0,4,,0,826,1,20031015,0.16,1,20030912,20031107,0,1,1,USD,0,0,0
107525,20040825,59491810,MSFT,7372,0,4,,0,826,1,20040823,0.08,1,20040720,20040914,0,1,3,USD,0,0,0
107525,20041117,59491810,MSFT,7372,0,4,,0,826,1,20041115,3,1,20040720,20041202,0,5,3,USD,0,0,0
107525,20041117,59491810,MSFT,7372,0,4,,0,826,2,20041115,0.08,1,20040915,20041202,0,1,3,USD,0,0,0
107525,20050217,59491810,MSFT,7372,0,4,,0,826,1,20050215,0.08,1,20041208,20050310,0,1,3,USD,0,0,0
107525,20050518,59491810,MSFT,7372,0,4,,0,826,1,20050516,0.08,1,20050323,20050609,0,1,3,USD,0,0,0
107525,20050817,59491810,MSFT,7372,0,4,,0,826,1,20050815,0.08,1,20050615,20050908,0,1,3,USD,0,0,0
107525,20051117,59491810,MSFT,7372,0,4,,0,826,1,20051115,0.08,1,20050923,20051208,0,1,3,USD,0,0,0
107525,20060217,59491810,MSFT,7372,0,4,,0,826,1,20060215,0.09,1,20051214,20060309,0,1,3,USD,0,0,0
107525,20060517,59491810,MSFT,7372,0,4,,0,826,1,20060515,0.09,1,20060327,20060608,0,1,3,USD,0,0,0
107525,20060817,59491810,MSFT,7372,0,4,,0,826,1,20060815,0.09,1,20060621,20060914,0,1,3,USD,0,0,0
107525,20061116,59491810,MSFT,7372,0,4,,0,826,1,20061114,0.1,1,20060913,20061214,0,1,3,USD,0,0,0
107525,20070215,59491810,MSFT,7372,0,4,,0,826,1,20070213,0.1,1,20061220,20070308,0,1,3,USD,0,0,0
107525,20070517,59491810,MSFT,7372,0,4,,0,826,1,20070515,0.1,1,20070326,20070614,0,1,3,USD,0,0,0
107525,20070816,59491810,MSFT,7372,0,4,,0,826,1,20070814,0.1,1,20070627,20070913,0,1,3,USD,0,0,0
107525,20071115,59491810,MSFT,7372,0,4,,0,826,1,20071113,0.11,1,20070912,20071213,0,1,3,USD,0,0,0
107525,20080221,59491810,MSFT,7372,0,4,,0,826,1,20080219,0.11,1,20071219,20080313,0,1,3,USD,0,0,0
107525,20080515,59491810,MSFT,7372,0,4,,0,826,1,20080513,0.11,1,20080317,20080612,0,1,3,USD,0,0,0
107525,20080821,59491810,MSFT,7372,0,4,,0,826,1,20080819,0.11,1,20080611,20080911,0,1,3,USD,0,0,0
107525,20081120,59491810,MSFT,7372,0,4,,0,826,1,20081118,0.13,1,20080922,20081211,0,1,3,USD,0,0,0
107525,20090219,59491810,MSFT,7372,0,4,,0,826,1,20090217,0.13,1,20081210,20090312,0,1,3,USD,0,0,0
107525,20090521,59491810,MSFT,7372,0,4,,0,826,1,20090519,0.13,1,20090309,20090618,0,1,3,USD,0,0,0
107525,20090820,59491810,MSFT,7372,0,4,,0,826,1,20090818,0.13,1,20090610,20090910,0,1,3,USD,0,0,0
107525,20091119,59491810,MSFT,7372,0,4,,0,826,1,20091117,0.13,1,20090918,20091210,0,1,3,USD,0,0,0
107525,20100218,59491810,MSFT,7372,0,4,,0,826,1,20100216,0.13,1,20091209,20100311,0,1,3,USD,0,0,0
107525,20100520,59491810,MSFT,7372,0,4,,0,826,1,20100518,0.13,1,20100308,20100610,0,1,3,USD,0,0,0
107525,20100819,59491810,MSFT,7372,0,4,,0,826,1,20100817,0.13,1,20100616,20100909,0,1,3,USD,0,0,0
107525,20101118,59491810,MSFT,7372,0,4,,0,826,1,20101116,0.16,1,20100921,20101209,0,1,3,USD,0,0,0
107525,20110217,59491810,MSFT,7372,0,4,,0,826,1,20110215,0.16,1,20101215,20110310,0,1,3,USD,0,0,0
107525,20110519,59491810,MSFT,7372,0,4,,0,826,1,20110517,0.16,1,20110314,20110609,0,1,3,USD,0,0,0
107525,20110818,59491810,MSFT,7372,0,4,,0,826,1,20110816,0.16,1,20110615,20110908,0,1,3,USD,0,0,0
107525,20111117,59491810,MSFT,7372,0,4,,0,826,1,20111115,0.2,1,20110920,20111208,0,1,3,USD,0,0,0
107525,20120216,59491810,MSFT,7372,0,4,,0,826,1,20120214,0.2,1,20111214,20120308,0,1,3,USD,0,0,0
107525,20120517,59491810,MSFT,7372,0,4,,0,826,1,20120515,0.2,1,20120313,20120614,0,1,3,USD,0,0,0
107525,20120816,59491810,MSFT,7372,0,4,,0,826,1,20120814,0.2,1,20120613,20120913,0,1,3,USD,0,0,0
107525,20121115,59491810,MSFT,7372,0,4,,0,826,1,20121113,0.23,1,20120918,20121213,0,1,3,USD,0,0,0
107525,20130221,59491810,MSFT,7372,0,4,,0,826,1,20130219,0.23,1,20121128,20130314,0,1,3,USD,0,0,0
107525,20130516,59491810,MSFT,7372,0,4,,0,826,1,20130514,0.23,1,20130311,20130613,0,1,3,USD,0,0,0
107525,20130815,59491810,MSFT,7372,0,4,,0,826,1,20130813,0.23,1,20130612,20130912,0,1,3,USD,0,0,0
107525,20131121,59491810,MSFT,7372,0,4,,0,826,1,20131119,0.28,1,20130917,20131212,0,1,3,USD,0,0,0
107525,20140221,59491810,MSFT,7372,0,4,,0,826,0,20140219,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20140521,59491810,MSFT,7372,0,4,,0,826,0,20140519,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20140821,59491810,MSFT,7372,0,4,,0,826,0,20140819,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20141121,59491810,MSFT,7372,0,4,,0,826,0,20141119,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150220,59491810,MSFT,7372,0,4,,0,826,0,20150218,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150521,59491810,MSFT,7372,0,4,,0,826,0,20150519,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150821,59491810,MSFT,7372,0,4,,0,826,0,20150819,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20151120,59491810,MSFT,7372,0,4,,0,826,0,20151118,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160222,59491810,MSFT,7372,0,4,,0,826,0,20160218,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160520,59491810,MSFT,7372,0,4,,0,826,0,20160518,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160822,59491810,MSFT,7372,0,4,,0,826,0,20160818,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20161121,59491810,MSFT,7372,0,4,,0,826,0,20161117,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170221,59491810,MSFT,7372,0,4,,0,826,0,20170217,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170522,59491810,MSFT,7372,0,4,,0,826,0,20170518,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170821,59491810,MSFT,7372,0,4,,0,826,0,20170817,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20171121,59491810,MSFT,7372,0,4,,0,826,0,20171117,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180221,59491810,MSFT,7372,0,4,,0,826,0,20180219,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180521,59491810,MSFT,7372,0,4,,0,826,0,20180517,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180821,59491810,MSFT,7372,0,4,,0,826,0,20180817,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20181121,59491810,MSFT,7372,0,4,,0,826,0,20181119,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
