secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,ticker,index_flag
107525,20120904,30,-80,0.223716,32.13939,1.960106,0.034269,P,MSFT,0
107525,20120904,30,-75,0.217318,31.75456,1.637812,0.015907,P,MSFT,0
107525,20120904,30,-70,0.215151,31.44842,1.403259,0.011341,P,MSFT,0
107525,20120904,30,-65,0.216011,31.18303,1.221015,0.010916,P,MSFT,0
107525,20120904,30,-60,0.218876,30.93803,1.07158,0.0092,P,MSFT,0
107525,20120904,30,-55,0.222184,30.69694,0.938341,0.007715,P,MSFT,0
107525,20120904,30,-50,0.226293,30.45457,0.819245,0.008536,P,MSFT,0
107525,20120904,30,-45,0.228949,30.20605,0.703952,0.010655,P,MSFT,0
107525,20120904,30,-40,0.230595,29.95125,0.594734,0.013709,P,MSFT,0
107525,20120904,30,-35,0.235546,29.67739,0.501514,0.016859,P,MSFT,0
107525,20120904,30,-30,0.244861,29.36357,0.421029,0.017857,P,MSFT,0
107525,20120904,30,-25,0.255378,29.00408,0.344211,0.019738,P,MSFT,0
107525,20120904,30,-20,0.267864,28.57289,0.270216,0.027325,P,MSFT,0
107525,20120904,30,20,0.21471,32.068,0.202944,0.008311,C,MSFT,0
107525,20120904,30,25,0.212258,31.72407,0.267533,0.008998,C,MSFT,0
107525,20120904,30,30,0.21078,31.42799,0.338641,0.010418,C,MSFT,0
107525,20120904,30,35,0.211985,31.16908,0.420955,0.010614,C,MSFT,0
107525,20120904,30,40,0.215032,30.929,0.515448,0.008939,C,MSFT,0
107525,20120904,30,45,0.218465,30.69219,0.622065,0.00774,C,MSFT,0
107525,20120904,30,50,0.222989,30.45392,0.744973,0.008787,C,MSFT,0
107525,20120904,30,55,0.225899,30.20868,0.877492,0.01062,C,MSFT,0
107525,20120904,30,60,0.227247,29.95752,1.020092,0.013325,C,MSFT,0
107525,20120904,30,65,0.231429,29.68929,1.194861,0.016124,C,MSFT,0
107525,20120904,30,70,0.239789,29.38368,1.419945,0.016685,C,MSFT,0
107525,20120904,30,75,0.248945,29.03685,1.6899,0.016861,C,MSFT,0
107525,20120904,30,80,0.258564,28.63176,2.020145,0.020727,C,MSFT,0
107525,20120904,60,-80,0.220506,32.89591,2.788781,0.020928,P,MSFT,0
107525,20120904,60,-75,0.218601,32.39163,2.377824,0.008826,P,MSFT,0
107525,20120904,60,-70,0.218729,31.96729,2.058481,0.004578,P,MSFT,0
107525,20120904,60,-65,0.220196,31.58596,1.795707,0.004263,P,MSFT,0
107525,20120904,60,-60,0.222248,31.2254,1.567858,0.00468,P,MSFT,0
107525,20120904,60,-55,0.225082,30.8769,1.368988,0.005922,P,MSFT,0
107525,20120904,60,-50,0.229362,30.53001,1.195351,0.00667,P,MSFT,0
107525,20120904,60,-45,0.233678,30.1741,1.034262,0.006774,P,MSFT,0
107525,20120904,60,-40,0.238176,29.80298,0.884397,0.008176,P,MSFT,0
107525,20120904,60,-35,0.244289,29.4044,0.748715,0.010175,P,MSFT,0
107525,20120904,60,-30,0.251975,28.96447,0.623857,0.012895,P,MSFT,0
107525,20120904,60,-25,0.26193,28.4585,0.507865,0.018262,P,MSFT,0
107525,20120904,60,-20,0.276286,27.8384,0.400867,0.027429,P,MSFT,0
107525,20120904,60,20,0.215405,32.84622,0.284299,0.003962,C,MSFT,0
107525,20120904,60,25,0.215189,32.36745,0.378781,0.002545,C,MSFT,0
107525,20120904,60,30,0.215983,31.95318,0.484017,0.00261,C,MSFT,0
107525,20120904,60,35,0.217542,31.57594,0.601719,0.00314,C,MSFT,0
107525,20120904,60,40,0.219431,31.21815,0.732699,0.003653,C,MSFT,0
107525,20120904,60,45,0.221736,30.87193,0.878871,0.004745,C,MSFT,0
107525,20120904,60,50,0.225379,30.52888,1.047321,0.005749,C,MSFT,0
107525,20120904,60,55,0.229399,30.17865,1.237972,0.00565,C,MSFT,0
107525,20120904,60,60,0.233132,29.81503,1.451577,0.006561,C,MSFT,0
107525,20120904,60,65,0.238228,29.42724,1.703506,0.008298,C,MSFT,0
107525,20120904,60,70,0.244561,29.00313,2.002669,0.009749,C,MSFT,0
107525,20120904,60,75,0.251808,28.52661,2.36153,0.012667,C,MSFT,0
107525,20120904,60,80,0.261552,27.96278,2.816406,0.0184,C,MSFT,0
107525,20120904,91,-80,0.229427,33.55187,3.696159,0.010992,P,MSFT,0
107525,20120904,91,-75,0.22789,32.88473,3.147359,0.008525,P,MSFT,0
107525,20120904,91,-70,0.228065,32.32151,2.716843,0.007892,P,MSFT,0
107525,20120904,91,-65,0.229538,31.82051,2.364603,0.007935,P,MSFT,0
107525,20120904,91,-60,0.23185,31.35158,2.062919,0.008251,P,MSFT,0
107525,20120904,91,-55,0.235051,30.90108,1.800986,0.008662,P,MSFT,0
107525,20120904,91,-50,0.238931,30.45319,1.566795,0.008849,P,MSFT,0
107525,20120904,91,-45,0.243128,29.99784,1.352707,0.009309,P,MSFT,0
107525,20120904,91,-40,0.248068,29.52511,1.156975,0.010228,P,MSFT,0
107525,20120904,91,-35,0.254041,29.02215,0.977253,0.011531,P,MSFT,0
107525,20120904,91,-30,0.2614,28.47219,0.811637,0.014004,P,MSFT,0
107525,20120904,91,-25,0.271261,27.84498,0.659258,0.018712,P,MSFT,0
107525,20120904,91,-20,0.285171,27.08745,0.518269,0.027074,P,MSFT,0
107525,20120904,91,20,0.219941,33.42152,0.348306,0.005439,C,MSFT,0
107525,20120904,91,25,0.220327,32.83293,0.464061,0.004854,C,MSFT,0
107525,20120904,91,30,0.221578,32.32217,0.593091,0.00513,C,MSFT,0
107525,20120904,91,35,0.223457,31.85404,0.736689,0.005611,C,MSFT,0
107525,20120904,91,40,0.225915,31.41656,0.897652,0.006181,C,MSFT,0
107525,20120904,91,45,0.228777,30.99081,1.07658,0.00678,C,MSFT,0
107525,20120904,91,50,0.232104,30.57044,1.278256,0.007202,C,MSFT,0
107525,20120904,91,55,0.235704,30.1404,1.505183,0.007453,C,MSFT,0
107525,20120904,91,60,0.239617,29.70007,1.762292,0.008125,C,MSFT,0
107525,20120904,91,65,0.244401,29.23361,2.06085,0.009089,C,MSFT,0
107525,20120904,91,70,0.250164,28.72616,2.409112,0.010653,C,MSFT,0
107525,20120904,91,75,0.257476,28.15816,2.835864,0.013822,C,MSFT,0
107525,20120904,91,80,0.267467,27.48634,3.375432,0.019504,C,MSFT,0
107525,20120904,122,-80,0.236856,34.29545,4.499285,0.011135,P,MSFT,0
107525,20120904,122,-75,0.23434,33.46939,3.810524,0.007244,P,MSFT,0
107525,20120904,122,-70,0.234336,32.78887,3.284861,0.005582,P,MSFT,0
107525,20120904,122,-65,0.235828,32.18637,2.85675,0.00567,P,MSFT,0
107525,20120904,122,-60,0.238323,31.62722,2.493462,0.006293,P,MSFT,0
107525,20120904,122,-55,0.241525,31.08785,2.174641,0.006749,P,MSFT,0
107525,20120904,122,-50,0.245066,30.55337,1.88742,0.007151,P,MSFT,0
107525,20120904,122,-45,0.249104,30.01403,1.627359,0.007863,P,MSFT,0
107525,20120904,122,-40,0.25398,29.45655,1.390435,0.008958,P,MSFT,0
107525,20120904,122,-35,0.25994,28.86602,1.173467,0.010573,P,MSFT,0
107525,20120904,122,-30,0.267374,28.22275,0.974031,0.01324,P,MSFT,0
107525,20120904,122,-25,0.277111,27.49508,0.790033,0.017961,P,MSFT,0
107525,20120904,122,-20,0.290581,26.62565,0.619295,0.026436,P,MSFT,0
107525,20120904,122,20,0.224298,33.99938,0.412064,0.005809,C,MSFT,0
107525,20120904,122,25,0.224776,33.28516,0.549001,0.004776,C,MSFT,0
107525,20120904,122,30,0.226226,32.67358,0.701047,0.005083,C,MSFT,0
107525,20120904,122,35,0.228299,32.11655,0.870355,0.005728,C,MSFT,0
107525,20120904,122,40,0.231187,31.59089,1.06061,0.006424,C,MSFT,0
107525,20120904,122,45,0.234462,31.08929,1.271873,0.006652,C,MSFT,0
107525,20120904,122,50,0.237684,30.58891,1.505777,0.006761,C,MSFT,0
107525,20120904,122,55,0.241121,30.08447,1.767447,0.007141,C,MSFT,0
107525,20120904,122,60,0.245096,29.5658,2.064794,0.007891,C,MSFT,0
107525,20120904,122,65,0.249851,29.02479,2.406116,0.008971,C,MSFT,0
107525,20120904,122,70,0.255629,28.44114,2.806634,0.010808,C,MSFT,0
107525,20120904,122,75,0.263064,27.7884,3.288687,0.014081,C,MSFT,0
107525,20120904,122,80,0.273047,27.02831,3.89563,0.019483,C,MSFT,0
107525,20120904,152,-80,0.243454,34.99468,5.249964,0.01599,P,MSFT,0
107525,20120904,152,-75,0.240522,34.02499,4.43493,0.011994,P,MSFT,0
107525,20120904,152,-70,0.240214,33.23132,3.815385,0.00925,P,MSFT,0
107525,20120904,152,-65,0.241767,32.53569,3.316757,0.008652,P,MSFT,0
107525,20120904,152,-60,0.244381,31.89235,2.894718,0.008975,P,MSFT,0
107525,20120904,152,-55,0.247383,31.27079,2.520404,0.00925,P,MSFT,0
107525,20120904,152,-50,0.250587,30.65701,2.182469,0.009648,P,MSFT,0
107525,20120904,152,-45,0.254453,30.04234,1.879317,0.010363,P,MSFT,0
107525,20120904,152,-40,0.259334,29.40934,1.604607,0.011441,P,MSFT,0
107525,20120904,152,-35,0.265426,28.74098,1.354004,0.01304,P,MSFT,0
107525,20120904,152,-30,0.273097,28.0145,1.123976,0.015587,P,MSFT,0
107525,20120904,152,-25,0.283104,27.19495,0.911433,0.020028,P,MSFT,0
107525,20120904,152,-20,0.296787,26.22373,0.714427,0.028019,P,MSFT,0
107525,20120904,152,20,0.228469,34.58237,0.466894,0.007418,C,MSFT,0
107525,20120904,152,25,0.229733,33.76393,0.624578,0.007305,C,MSFT,0
107525,20120904,152,30,0.23176,33.05593,0.799724,0.00792,C,MSFT,0
107525,20120904,152,35,0.234216,32.40822,0.994557,0.008553,C,MSFT,0
107525,20120904,152,40,0.23724,31.79705,1.212341,0.008856,C,MSFT,0
107525,20120904,152,45,0.24026,31.21104,1.451407,0.008757,C,MSFT,0
107525,20120904,152,50,0.243155,30.63076,1.71506,0.008941,C,MSFT,0
107525,20120904,152,55,0.246507,30.04875,2.01088,0.00954,C,MSFT,0
107525,20120904,152,60,0.250595,29.45614,2.346839,0.010335,C,MSFT,0
107525,20120904,152,65,0.255467,28.83844,2.731448,0.011316,C,MSFT,0
107525,20120904,152,70,0.26134,28.17833,3.179476,0.013182,C,MSFT,0
107525,20120904,152,75,0.268973,27.44195,3.719885,0.01753,C,MSFT,0
107525,20120904,152,80,0.279583,26.58862,4.398046,0.025521,C,MSFT,0
107525,20120904,182,-80,0.253022,35.7109,6.182786,0.018987,P,MSFT,0
107525,20120904,182,-75,0.249368,34.54067,5.185926,0.014102,P,MSFT,0
107525,20120904,182,-70,0.248311,33.59331,4.431738,0.009807,P,MSFT,0
107525,20120904,182,-65,0.249741,32.78286,3.840539,0.00826,P,MSFT,0
107525,20120904,182,-60,0.252476,32.04235,3.346488,0.008458,P,MSFT,0
107525,20120904,182,-55,0.255622,31.33099,2.909866,0.009077,P,MSFT,0
107525,20120904,182,-50,0.259042,30.63329,2.518396,0.009862,P,MSFT,0
107525,20120904,182,-45,0.263134,29.93513,2.166551,0.010815,P,MSFT,0
107525,20120904,182,-40,0.268262,29.22081,1.848857,0.012068,P,MSFT,0
107525,20120904,182,-35,0.274686,28.46883,1.559487,0.013826,P,MSFT,0
107525,20120904,182,-30,0.282806,27.65494,1.294589,0.016529,P,MSFT,0
107525,20120904,182,-25,0.29342,26.74144,1.05053,0.021068,P,MSFT,0
107525,20120904,182,-20,0.307789,25.66342,0.823641,0.028419,P,MSFT,0
107525,20120904,182,20,0.234272,35.10802,0.515236,0.00681,C,MSFT,0
107525,20120904,182,25,0.236556,34.20103,0.691244,0.006999,C,MSFT,0
107525,20120904,182,30,0.239176,33.40572,0.886758,0.007405,C,MSFT,0
107525,20120904,182,35,0.241979,32.69045,1.103625,0.007773,C,MSFT,0
107525,20120904,182,40,0.244971,31.99582,1.343545,0.007963,C,MSFT,0
107525,20120904,182,45,0.247908,31.33115,1.607283,0.008286,C,MSFT,0
107525,20120904,182,50,0.250999,30.68617,1.900794,0.00902,C,MSFT,0
107525,20120904,182,55,0.254713,30.0328,2.227148,0.009916,C,MSFT,0
107525,20120904,182,60,0.259154,29.37192,2.600253,0.010758,C,MSFT,0
107525,20120904,182,65,0.264259,28.67913,3.027983,0.011748,C,MSFT,0
107525,20120904,182,70,0.270303,27.95442,3.515931,0.014262,C,MSFT,0
107525,20120904,182,75,0.278474,27.13602,4.113486,0.021375,C,MSFT,0
107525,20120904,182,80,0.290943,26.17229,4.881374,0.034028,C,MSFT,0
107525,20120904,273,-80,0.258791,37.4503,8.17761,0.018577,P,MSFT,0
107525,20120904,273,-75,0.254432,35.86255,6.8004,0.013301,P,MSFT,0
107525,20120904,273,-70,0.252869,34.60468,5.775778,0.008287,P,MSFT,0
107525,20120904,273,-65,0.254208,33.55427,4.989752,0.006115,P,MSFT,0
107525,20120904,273,-60,0.257092,32.60612,4.33976,0.006221,P,MSFT,0
107525,20120904,273,-55,0.260749,31.70782,3.774831,0.006809,P,MSFT,0
107525,20120904,273,-50,0.264845,30.83003,3.270181,0.00734,P,MSFT,0
107525,20120904,273,-45,0.269364,29.95396,2.813298,0.00814,P,MSFT,0
107525,20120904,273,-40,0.274757,29.06323,2.39953,0.009606,P,MSFT,0
107525,20120904,273,-35,0.281527,28.13184,2.023361,0.011734,P,MSFT,0
107525,20120904,273,-30,0.290051,27.13139,1.679273,0.01473,P,MSFT,0
107525,20120904,273,-25,0.301057,26.01986,1.362426,0.01947,P,MSFT,0
107525,20120904,273,-20,0.315778,24.72504,1.067831,0.02652,P,MSFT,0
107525,20120904,273,20,0.23807,36.35989,0.630561,0.004621,C,MSFT,0
107525,20120904,273,25,0.24064,35.22906,0.845699,0.004813,C,MSFT,0
107525,20120904,273,30,0.243357,34.21549,1.083846,0.004999,C,MSFT,0
107525,20120904,273,35,0.24618,33.2901,1.347132,0.005126,C,MSFT,0
107525,20120904,273,40,0.249187,32.42849,1.637844,0.005435,C,MSFT,0
107525,20120904,273,45,0.252519,31.59927,1.95877,0.005982,C,MSFT,0
107525,20120904,273,50,0.256236,30.78215,2.315344,0.006571,C,MSFT,0
107525,20120904,273,55,0.260402,29.98128,2.718418,0.007166,C,MSFT,0
107525,20120904,273,60,0.265125,29.16186,3.166801,0.007853,C,MSFT,0
107525,20120904,273,65,0.27047,28.31485,3.675442,0.008982,C,MSFT,0
107525,20120904,273,70,0.276724,27.4242,4.266017,0.012425,C,MSFT,0
107525,20120904,273,75,0.285277,26.44446,4.969671,0.021713,C,MSFT,0
107525,20120904,273,80,0.298884,25.30681,5.870481,0.036892,C,MSFT,0
107525,20120904,365,-80,0.267832,39.38275,10.34268,0.015079,P,MSFT,0
107525,20120904,365,-75,0.265834,37.4369,8.651283,0.012561,P,MSFT,0
107525,20120904,365,-70,0.266098,35.88552,7.381843,0.010549,P,MSFT,0
107525,20120904,365,-65,0.268518,34.57251,6.385804,0.010022,P,MSFT,0
107525,20120904,365,-60,0.272136,33.38692,5.554965,0.010602,P,MSFT,0
107525,20120904,365,-55,0.276733,32.27148,4.837545,0.011132,P,MSFT,0
107525,20120904,365,-50,0.281172,31.17892,4.185125,0.011016,P,MSFT,0
107525,20120904,365,-45,0.285293,30.09251,3.584507,0.0117,P,MSFT,0
107525,20120904,365,-40,0.291116,29.00449,3.054967,0.014073,P,MSFT,0
107525,20120904,365,-35,0.299651,27.87417,2.586988,0.016177,P,MSFT,0
107525,20120904,365,-30,0.308825,26.67016,2.146125,0.017379,P,MSFT,0
107525,20120904,365,-25,0.31858,25.36215,1.727259,0.020295,P,MSFT,0
107525,20120904,365,-20,0.33143,23.87884,1.340224,0.02592,P,MSFT,0
107525,20120904,365,20,0.249417,37.85705,0.750642,0.007878,C,MSFT,0
107525,20120904,365,25,0.252622,36.4426,1.008076,0.008133,C,MSFT,0
107525,20120904,365,30,0.25556,35.18396,1.290852,0.008002,C,MSFT,0
107525,20120904,365,35,0.258232,34.02765,1.600273,0.008313,C,MSFT,0
107525,20120904,365,40,0.261782,32.96577,1.945895,0.009219,C,MSFT,0
107525,20120904,365,45,0.266009,31.95729,2.331536,0.009441,C,MSFT,0
107525,20120904,365,50,0.269588,30.96173,2.746709,0.009126,C,MSFT,0
107525,20120904,365,55,0.272895,29.97396,3.208946,0.009454,C,MSFT,0
107525,20120904,365,60,0.277504,28.9929,3.731896,0.010762,C,MSFT,0
107525,20120904,365,65,0.283727,27.98361,4.326191,0.011573,C,MSFT,0
107525,20120904,365,70,0.289847,26.93081,5.001467,0.012146,C,MSFT,0
107525,20120904,365,75,0.296111,25.81698,5.767656,0.015143,C,MSFT,0
107525,20120904,365,80,0.304138,24.60078,6.66951,0.022798,C,MSFT,0
107525,20120904,547,-80,0.271048,42.7494,14.12261,0.012093,P,MSFT,0
107525,20120904,547,-75,0.269466,40.02032,11.70217,0.009878,P,MSFT,0
107525,20120904,547,-70,0.270148,37.90625,9.927156,0.007413,P,MSFT,0
107525,20120904,547,-65,0.272893,36.15047,8.550029,0.006213,P,MSFT,0
107525,20120904,547,-60,0.276934,34.59432,7.416394,0.006438,P,MSFT,0
107525,20120904,547,-55,0.28186,33.14985,6.443974,0.006438,P,MSFT,0
107525,20120904,547,-50,0.286183,31.74206,5.552626,0.006016,P,MSFT,0
107525,20120904,547,-45,0.290261,30.36012,4.739374,0.007505,P,MSFT,0
107525,20120904,547,-40,0.296621,29.00011,4.036938,0.010714,P,MSFT,0
107525,20120904,547,-35,0.30578,27.60824,3.419067,0.012517,P,MSFT,0
107525,20120904,547,-30,0.31477,26.14137,2.827737,0.013551,P,MSFT,0
107525,20120904,547,-25,0.32408,24.56844,2.266058,0.017238,P,MSFT,0
107525,20120904,547,-20,0.336761,22.81886,1.753487,0.023474,P,MSFT,0
107525,20120904,547,20,0.25308,39.96654,0.907797,0.004555,C,MSFT,0
107525,20120904,547,25,0.256328,38.11975,1.216261,0.004671,C,MSFT,0
107525,20120904,547,30,0.259261,36.50344,1.555029,0.004188,C,MSFT,0
107525,20120904,547,35,0.262086,35.03179,1.925896,0.004698,C,MSFT,0
107525,20120904,547,40,0.266056,33.70079,2.338079,0.005688,C,MSFT,0
107525,20120904,547,45,0.270381,32.43642,2.797283,0.005388,C,MSFT,0
107525,20120904,547,50,0.27369,31.19497,3.287966,0.004982,C,MSFT,0
107525,20120904,547,55,0.276968,29.98743,3.82537,0.005941,C,MSFT,0
107525,20120904,547,60,0.282019,28.77345,4.446488,0.007782,C,MSFT,0
107525,20120904,547,65,0.288548,27.55536,5.14848,0.008218,C,MSFT,0
107525,20120904,547,70,0.29421,26.29411,5.924288,0.008364,C,MSFT,0
107525,20120904,547,75,0.299622,24.99966,6.779921,0.010006,C,MSFT,0
107525,20120904,547,80,0.305998,23.62244,7.766516,0.014108,C,MSFT,0
107525,20120904,730,-80,0.271055,46.07966,17.75362,0.012084,P,MSFT,0
107525,20120904,730,-75,0.269474,42.52458,14.54986,0.00987,P,MSFT,0
107525,20120904,730,-70,0.270156,39.84483,12.25225,0.007402,P,MSFT,0
107525,20120904,730,-65,0.272902,37.66872,10.49979,0.006199,P,MSFT,0
107525,20120904,730,-60,0.276944,35.77142,9.072701,0.006423,P,MSFT,0
107525,20120904,730,-55,0.281871,34.03395,7.858757,0.00642,P,MSFT,0
107525,20120904,730,-50,0.286194,32.35601,6.752507,0.005997,P,MSFT,0
107525,20120904,730,-45,0.290271,30.72508,5.749309,0.00749,P,MSFT,0
107525,20120904,730,-40,0.296633,29.14131,4.88765,0.010703,P,MSFT,0
107525,20120904,730,-35,0.305793,27.54078,4.133539,0.012505,P,MSFT,0
107525,20120904,730,-30,0.314783,25.86672,3.41331,0.013539,P,MSFT,0
107525,20120904,730,-25,0.324092,24.08964,2.731728,0.017229,P,MSFT,0
107525,20120904,730,-20,0.336773,22.13656,2.110808,0.023467,P,MSFT,0
107525,20120904,730,20,0.253088,41.71074,1.028039,0.004542,C,MSFT,0
107525,20120904,730,25,0.256336,39.50845,1.375339,0.004657,C,MSFT,0
107525,20120904,730,30,0.259269,37.57376,1.755848,0.004173,C,MSFT,0
107525,20120904,730,35,0.262094,35.84481,2.170217,0.004684,C,MSFT,0
107525,20120904,730,40,0.266065,34.29506,2.632078,0.005674,C,MSFT,0
107525,20120904,730,45,0.270391,32.81469,3.142605,0.005372,C,MSFT,0
107525,20120904,730,50,0.273698,31.39185,3.686153,0.004966,C,MSFT,0
107525,20120904,730,55,0.276977,29.99505,4.286008,0.005928,C,MSFT,0
107525,20120904,730,60,0.282029,28.64133,4.957778,0.007771,C,MSFT,0
107525,20120904,730,65,0.288558,27.25745,5.735168,0.008205,C,MSFT,0
107525,20120904,730,70,0.29422,25.85733,6.576029,0.008352,C,MSFT,0
107525,20120904,730,75,0.299629,24.42436,7.50332,0.009991,C,MSFT,0
107525,20120904,730,80,0.306002,22.89891,8.575423,0.014083,C,MSFT,0
